科目区分1,科目区分2,科目名称,配当年次,DP1-1,DP1-2,DP1-3,DP1-4,-,-,DP2-1,DP2-2,DP2-3,DP2-4,DP2-5,DP3-1,DP3-2,DP3-3,DP3-4,DP3-5,DP3-6,DP4-1,DP4-2,DP4-3
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,美術史C（西洋）,1,,,◎,,,,○,◎,,,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,日本芸能史,1,,,◎,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,認知心理学A,1,◎,〇,〇,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,認知心理学B,1,◎,〇,○,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,スポーツ経済学,1,◎,〇,〇,,,,○,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,スポーツ法学,2,◎,〇,〇,,,,,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,スポーツ社会学,2,◎,〇,〇,,,,,◎,〇,〇,,◎,〇,,,,〇,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,スポーツ心理学,2,◎,〇,〇,,,,,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（アート・スポーツフィールド）,スポーツビジネス論Ⅰ,2,◎,〇,〇,,,,,◎,,,,◎,〇,,,,,,,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公務員試験対策基礎,1,◎,○,○,○,,,〇,◎,,◎,○,◎,○,,,,,○,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,キャリア対策講座,1,○,,〇,◎,,,○,◎,,◎,○,◎,〇,,,,,◎,◎,〇
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,キャリア基本演習A（対人スキル）,2,○,,○,◎,,,,◎,,◎,○,〇,〇,◎,,◎,,◎,◎,〇
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,キャリア基本演習B（ケーススタディ）,2,○,,○,◎,,,,◎,,◎,○,○,〇,◎,,◎,,◎,◎,〇
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,キャリア基本演習C（ホスピタリティ）,2,〇,,○,◎,,,,◎,,◎,○,○,〇,◎,,◎,,◎,◎,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公務員試験対策Ⅰ,2,◎,○,○,○,,,,◎,,◎,○,◎,◎,,,,,,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公務員試験対策Ⅱ,2,◎,○,○,○,,,,◎,,◎,○,◎,◎,,,,,,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公務員試験対策Ⅲ,2,◎,○,○,○,,,,◎,,◎,○,◎,◎,,,,,,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公務員試験対策Ⅳ,2,◎,○,○,○,,,,◎,,◎,○,◎,◎,,,,,,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公共・社会貢献演習A（公務員）,2,〇,,○,◎,,,,◎,〇,◎,○,,,◎,,◎,,◎,◎,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,公共・社会貢献演習B（地域支援活動）,2,〇,,○,◎,,,,◎,〇,◎,○,,,◎,,◎,,◎,◎,〇
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,教員採用試験対策Ⅰ,2,◎,〇,○,○,,,,◎,,◎,○,◎,◎,〇,,〇,,〇,◎,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,現代ビジネス演習A（ファッション）,2,◎,,○,◎,,,,◎,,◎,○,〇,〇,◎,,◎,,◎,〇,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,現代ビジネス演習B（アロマテラピー）,2,◎,,○,◎,,,,◎,,◎,○,〇,〇,◎,,◎,,◎,○,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,現代ビジネス演習C（ビューティー）,2,◎,,○,◎,,,,◎,,◎,○,〇,〇,◎,,◎,,◎,〇,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,現代ビジネス演習D（サブカル・芸能）,2,◎,,○,◎,,,,◎,,◎,○,〇,〇,◎,,◎,,◎,〇,○
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,業界研究A,2,◎,○,○,◎,,,,◎,〇,◎,○,○,◎,,〇,◎,,○,○,◎
総合政策学科専門科目,基本科目（先進的キャリア形成科目群）,業界研究B,2,◎,○,○,◎,,,,◎,〇,◎,○,〇,◎,,〇,◎,,○,○,◎
